Date,Ticker,Exp_Month,Volume,Settle,Open,Last,Low,High
2021-01-08,FCF1,JAN 21,1223,135.825,136.3,135.825,135.575,136.775
2021-01-07,FCF1,JAN 21,974,136.7,135.5,136.7,135.4,137.325
2021-01-06,FCF1,JAN 21,1076,135.775,136.25,135.775,135.025,136.625
2021-01-05,FCF1,JAN 21,2132,136.675,134.25,136.675,133.75,137.7
2021-01-04,FCF1,JAN 21,3069,134.95,138.55,134.95,134.5,138.8
2020-12-31,FCF1,JAN 21,1299,138.95,138.525,138.95,138.05,139.45
2020-12-30,FCF1,JAN 21,2195,138.525,139.5,138.525,137.8,139.675
2020-12-29,FCF1,JAN 21,2099,139.625,141.0,139.625,139.325,141.3
2020-12-28,FCF1,JAN 21,2185,141.0,140.825,141.0,140.525,141.975
2020-12-24,FCF1,JAN 21,1039,140.925,140.45,140.925,140.275,141.075
2020-12-23,FCF1,JAN 21,2391,140.275,139.875,140.275,139.0,140.55
2020-12-22,FCF1,JAN 21,3147,139.9,140.75,139.9,139.65,141.025
2020-12-21,FCF1,JAN 21,3418,140.625,139.75,140.625,139.275,141.1
2020-12-18,FCF1,JAN 21,4479,140.45,140.95,140.45,139.975,141.0
2020-12-17,FCF1,JAN 21,3397,140.975,140.75,140.975,140.55,141.625
2020-12-16,FCF1,JAN 21,4385,140.85,139.6,140.85,138.8,141.275
2020-12-15,FCF1,JAN 21,3651,140.1,139.475,140.1,139.425,140.525
2020-12-14,FCF1,JAN 21,4278,140.025,139.7,140.025,139.175,140.625
2020-12-11,FCF1,JAN 21,7026,139.725,137.4,139.725,137.25,139.85
2020-12-10,FCF1,JAN 21,8018,137.6,136.85,137.6,136.775,139.15
2020-12-09,FCF1,JAN 21,5731,137.025,137.525,137.025,136.575,137.9
2020-12-08,FCF1,JAN 21,6088,137.575,137.6,137.575,136.825,138.425
2020-12-07,FCF1,JAN 21,7301,137.8,139.25,137.8,137.55,139.475
2020-12-04,FCF1,JAN 21,4655,139.775,139.6,139.775,138.4,140.125
2020-12-03,FCF1,JAN 21,4664,139.8,141.725,139.8,139.225,142.0
2020-12-02,FCF1,JAN 21,4659,141.8,141.5,141.8,140.35,142.15
2020-12-01,FCF1,JAN 21,6849,141.65,141.075,141.65,141.05,143.475
2020-11-30,FCF1,JAN 21,5839,141.05,139.4,141.05,138.925,141.25
2020-11-27,FCF1,JAN 21,2718,139.825,139.625,139.825,139.4,140.975
2020-11-25,FCF1,JAN 21,3966,140.175,138.9,140.175,138.675,140.575
2020-11-24,FCF1,JAN 21,4901,138.6,138.075,138.6,138.0,139.575
2020-11-23,FCF1,JAN 21,4547,137.825,135.375,137.825,135.225,138.375
2020-11-20,FCF1,JAN 21,5310,134.6,135.5,134.6,133.0,135.6
2020-11-19,FCX0,NOV 20,246,136.775,137.1,136.775,136.75,137.375
2020-11-18,FCX0,NOV 20,402,137.025,137.375,137.025,136.825,137.375
2020-11-17,FCX0,NOV 20,578,137.375,137.6,137.375,137.05,137.75
2020-11-16,FCX0,NOV 20,468,137.275,137.3,137.275,136.725,137.725
2020-11-13,FCX0,NOV 20,928,137.475,140.0,137.475,137.35,140.0
2020-11-12,FCX0,NOV 20,700,140.075,140.525,140.075,139.825,140.7
2020-11-11,FCX0,NOV 20,534,140.6,140.85,140.6,139.525,141.025
2020-11-10,FCX0,NOV 20,1100,140.85,141.3,140.85,140.2,141.95
2020-11-09,FCX0,NOV 20,1834,141.625,138.3,141.625,138.3,141.875
2020-11-06,FCX0,NOV 20,767,137.7,137.275,137.7,137.0,138.4
2020-11-05,FCX0,NOV 20,852,137.575,137.7,137.575,136.6,138.5
2020-11-04,FCX0,NOV 20,910,137.7,136.65,137.7,135.225,137.875
2020-11-03,FCX0,NOV 20,865,136.125,137.275,136.125,135.75,137.35
2020-11-02,FCX0,NOV 20,1285,136.975,137.825,136.975,135.5,138.25
2020-10-30,FCX0,NOV 20,1233,137.4,136.35,137.4,135.425,137.9
2020-10-29,FCV0,OCT 20,452,136.45,135.5,136.45,135.5,136.8
2020-10-28,FCV0,OCT 20,233,135.175,134.4,135.175,134.4,135.4
2020-10-27,FCV0,OCT 20,634,134.3,133.5,134.3,133.45,134.5
2020-10-26,FCV0,OCT 20,215,133.7,133.1,133.7,133.0,134.125
2020-10-23,FCV0,OCT 20,458,133.525,133.775,133.525,133.2,134.45
2020-10-22,FCV0,OCT 20,656,133.825,133.975,133.825,132.375,134.5
2020-10-21,FCV0,OCT 20,167,134.4,133.95,134.4,133.95,135.5
2020-10-20,FCV0,OCT 20,828,134.5,134.0,134.5,131.725,134.8
2020-10-19,FCV0,OCT 20,1063,134.6,137.95,134.6,134.1,137.95
2020-10-16,FCV0,OCT 20,600,138.1,138.5,138.1,137.6,138.95
2020-10-15,FCV0,OCT 20,952,138.925,138.125,138.925,138.0,139.05
2020-10-14,FCV0,OCT 20,969,138.375,138.3,138.375,136.975,138.8
2020-10-13,FCV0,OCT 20,938,138.125,137.275,138.125,136.3,138.25
2020-10-12,FCV0,OCT 20,1220,137.3,138.675,137.3,137.0,138.675
2020-10-09,FCV0,OCT 20,1233,138.25,138.0,138.25,137.3,138.6
2020-10-08,FCV0,OCT 20,1360,138.05,138.175,138.05,137.8,138.875
2020-10-07,FCV0,OCT 20,1065,138.5,138.15,138.5,136.8,138.8
2020-10-06,FCV0,OCT 20,2046,138.125,140.5,138.125,137.15,140.875
2020-10-05,FCV0,OCT 20,928,140.05,140.5,140.05,139.7,140.775
2020-10-02,FCV0,OCT 20,1216,139.9,139.95,139.9,139.5,140.7
2020-10-01,FCV0,OCT 20,1463,140.925,141.075,140.925,140.625,141.95
2020-09-30,FCV0,OCT 20,1880,141.35,143.3,141.35,140.55,143.45
2020-09-29,FCV0,OCT 20,2785,142.925,141.25,142.925,140.975,143.65
2020-09-28,FCV0,OCT 20,3347,140.925,139.5,140.925,139.225,141.05
2020-09-25,FCV0,OCT 20,3697,140.325,142.2,140.325,140.25,142.325
2020-09-24,FCU0,SEP 20,252,142.45,142.2,142.45,142.2,142.5
2020-09-23,FCU0,SEP 20,457,142.0,141.725,142.0,141.475,142.2
2020-09-22,FCU0,SEP 20,819,141.7,141.55,141.7,141.35,142.125
2020-09-21,FCU0,SEP 20,700,141.075,140.8,141.075,140.15,141.2
2020-09-18,FCU0,SEP 20,993,140.875,140.3,140.875,140.3,141.75
2020-09-17,FCU0,SEP 20,770,139.925,140.3,139.925,139.4,140.85
2020-09-16,FCU0,SEP 20,575,140.5,141.9,140.5,140.375,141.9
2020-09-15,FCU0,SEP 20,758,141.675,142.125,141.675,140.95,142.125
2020-09-14,FCU0,SEP 20,664,141.5,140.825,141.5,140.125,142.0
2020-09-11,FCU0,SEP 20,465,140.0,139.5,140.0,139.35,140.225
2020-09-10,FCU0,SEP 20,1011,139.175,138.4,139.175,138.4,140.0
2020-09-09,FCU0,SEP 20,1356,138.4,138.925,138.4,137.225,139.45
2020-09-08,FCU0,SEP 20,1203,138.95,137.875,138.95,137.65,139.175
2020-09-04,FCU0,SEP 20,1380,137.65,137.875,137.65,136.85,138.25
2020-09-03,FCU0,SEP 20,1321,137.6,138.7,137.6,137.05,139.55
2020-09-02,FCU0,SEP 20,1525,138.7,140.425,138.7,137.5,140.575
2020-09-01,FCU0,SEP 20,1348,140.125,140.475,140.125,139.125,141.55
2020-08-31,FCU0,SEP 20,968,140.3,139.325,140.3,138.7,141.375
2020-08-28,FCU0,SEP 20,1150,140.025,141.4,140.025,139.6,141.4
2020-08-27,FCQ0,AUG 20,687,141.975,142.4,141.975,141.975,142.4
2020-08-26,FCQ0,AUG 20,776,142.475,142.65,142.475,142.025,142.8
2020-08-25,FCQ0,AUG 20,650,142.25,141.9,142.25,141.575,142.5
2020-08-24,FCQ0,AUG 20,1105,142.0,142.15,142.0,141.15,142.4
2020-08-21,FCQ0,AUG 20,607,142.925,143.35,142.925,142.75,143.725
2020-08-20,FCQ0,AUG 20,501,143.425,143.725,143.425,143.225,143.75
2020-08-19,FCQ0,AUG 20,283,143.55,143.25,143.55,143.25,144.05
2020-08-18,FCQ0,AUG 20,387,143.225,142.925,143.225,142.725,143.45
2020-08-17,FCQ0,AUG 20,719,142.725,144.2,142.725,142.55,144.2
2020-08-14,FCQ0,AUG 20,570,143.925,144.875,143.925,143.65,145.125
2020-08-13,FCQ0,AUG 20,846,144.95,145.75,144.95,144.6,145.85
2020-08-12,FCQ0,AUG 20,1595,145.25,144.775,145.25,144.4,146.4
2020-08-11,FCQ0,AUG 20,1257,144.5,143.95,144.5,143.1,145.1
2020-08-10,FCQ0,AUG 20,1028,143.575,142.825,143.575,142.25,143.825
2020-08-07,FCQ0,AUG 20,1243,142.725,143.575,142.725,142.5,143.925
2020-08-06,FCQ0,AUG 20,2080,143.475,145.1,143.475,143.2,145.975
2020-08-05,FCQ0,AUG 20,819,144.8,144.5,144.8,144.1,145.175
2020-08-04,FCQ0,AUG 20,1079,144.7,144.875,144.7,144.075,145.4
2020-08-03,FCQ0,AUG 20,1503,144.875,144.525,144.875,144.225,145.475
2020-07-31,FCQ0,AUG 20,1481,144.675,143.15,144.675,142.65,144.9
2020-07-30,FCQ0,AUG 20,1718,143.025,141.775,143.025,141.425,143.5
2020-07-29,FCQ0,AUG 20,1528,141.975,141.375,141.975,140.8,142.475
2020-07-28,FCQ0,AUG 20,2829,140.7,139.625,140.7,139.475,141.6
2020-07-27,FCQ0,AUG 20,4635,139.35,143.7,139.35,139.1,143.85
2020-07-24,FCQ0,AUG 20,3699,142.05,141.75,142.05,141.55,143.7
2020-07-23,FCQ0,AUG 20,3546,142.025,141.75,142.025,141.525,143.075
2020-07-22,FCQ0,AUG 20,4214,141.525,141.35,141.525,140.775,142.025
2020-07-21,FCQ0,AUG 20,3290,141.325,141.6,141.325,140.725,142.35
2020-07-20,FCQ0,AUG 20,4930,141.6,142.475,141.6,139.425,142.7
2020-07-17,FCQ0,AUG 20,3973,142.7,142.45,142.7,141.2,142.975
2020-07-16,FCQ0,AUG 20,7822,142.6,139.375,142.6,138.925,143.825
2020-07-15,FCQ0,AUG 20,5101,139.425,136.75,139.425,136.65,139.825
2020-07-14,FCQ0,AUG 20,5191,136.725,136.9,136.725,136.575,137.525
2020-07-13,FCQ0,AUG 20,6320,137.05,136.15,137.05,136.0,137.85
2020-07-10,FCQ0,AUG 20,4604,135.75,134.85,135.75,134.425,136.05
2020-07-09,FCQ0,AUG 20,5534,134.525,134.175,134.525,133.8,135.425
2020-07-08,FCQ0,AUG 20,6910,134.05,135.0,134.05,133.1,135.225
2020-07-07,FCQ0,AUG 20,3779,134.925,135.825,134.925,134.85,136.4
2020-07-06,FCQ0,AUG 20,4166,136.15,135.8,136.15,134.975,136.675
2020-07-02,FCQ0,AUG 20,4730,134.875,133.25,134.875,132.625,136.0
2020-07-01,FCQ0,AUG 20,5060,133.075,132.9,133.075,130.775,133.95
2020-06-30,FCQ0,AUG 20,7247,132.85,133.475,132.85,132.275,135.675
2020-06-29,FCQ0,AUG 20,4727,133.5,132.725,133.5,130.45,133.9
2020-06-26,FCQ0,AUG 20,3523,132.6,132.975,132.6,132.125,133.575
2020-06-25,FCQ0,AUG 20,3071,133.25,132.95,133.25,132.425,134.4
2020-06-24,FCQ0,AUG 20,3898,132.875,133.2,132.875,131.8,134.45
2020-06-23,FCQ0,AUG 20,6963,133.2,131.625,133.2,131.025,135.375
2020-06-22,FCQ0,AUG 20,3489,131.75,131.15,131.75,131.125,132.675
2020-06-19,FCQ0,AUG 20,2318,132.55,132.5,132.55,132.125,133.55
2020-06-18,FCQ0,AUG 20,2130,132.975,133.75,132.975,132.45,133.75
2020-06-17,FCQ0,AUG 20,3057,133.575,132.3,133.575,131.7,133.85
2020-06-16,FCQ0,AUG 20,3193,132.875,132.175,132.875,131.425,133.0
2020-06-15,FCQ0,AUG 20,4898,131.175,130.475,131.175,128.675,131.75
2020-06-12,FCQ0,AUG 20,3356,131.1,132.35,131.1,130.65,133.5
2020-06-11,FCQ0,AUG 20,3914,132.175,131.4,132.175,130.125,132.35
2020-06-10,FCQ0,AUG 20,3532,132.675,134.225,132.675,131.575,134.75
2020-06-09,FCQ0,AUG 20,3131,134.25,132.75,134.25,131.525,134.875
2020-06-08,FCQ0,AUG 20,2622,133.075,134.075,133.075,132.675,134.325
2020-06-05,FCQ0,AUG 20,3357,134.175,135.25,134.175,133.35,135.5
2020-06-04,FCQ0,AUG 20,2923,134.725,133.675,134.725,133.625,135.325
2020-06-03,FCQ0,AUG 20,3580,134.225,134.0,134.225,132.6,134.575
2020-06-02,FCQ0,AUG 20,4484,133.425,135.775,133.425,133.175,136.35
2020-06-01,FCQ0,AUG 20,4875,136.125,134.4,136.125,132.525,136.725
2020-05-29,FCQ0,AUG 20,5958,135.35,135.475,135.35,132.6,135.75
2020-05-28,FCQ0,AUG 20,4049,135.5,134.2,135.5,133.3,136.025
2020-05-27,FCQ0,AUG 20,3141,134.025,134.2,134.025,133.025,135.0
2020-05-26,FCQ0,AUG 20,3973,133.3,129.775,133.3,129.6,133.3
2020-05-22,FCQ0,AUG 20,2500,128.8,128.7,128.8,128.5,129.975
2020-05-21,FCK0,MAY 20,248,126.025,126.0,126.025,125.85,126.025
2020-05-20,FCK0,MAY 20,1142,126.0,127.15,126.0,125.85,127.7
2020-05-19,FCK0,MAY 20,586,127.425,127.15,127.425,126.9,127.5
2020-05-18,FCK0,MAY 20,647,126.6,126.175,126.6,125.5,127.0
2020-05-15,FCK0,MAY 20,777,124.725,124.35,124.725,123.8,125.425
2020-05-14,FCK0,MAY 20,597,123.8,125.0,123.8,123.525,125.55
2020-05-13,FCK0,MAY 20,600,125.3,127.15,125.3,124.925,127.475
2020-05-12,FCK0,MAY 20,734,127.3,123.9,127.3,123.775,127.6
2020-05-11,FCK0,MAY 20,903,123.65,128.025,123.65,123.475,128.25
2020-05-08,FCK0,MAY 20,1238,127.9,130.175,127.9,127.65,130.375
2020-05-07,FCK0,MAY 20,2526,130.275,125.125,130.275,125.125,130.85
2020-05-06,FCK0,MAY 20,1529,124.1,119.1,124.1,118.8,124.1
2020-05-05,FCK0,MAY 20,1147,119.6,119.575,119.6,116.1,119.7
2020-05-04,FCK0,MAY 20,865,119.075,118.7,119.075,118.075,119.5
2020-05-01,FCK0,MAY 20,1504,117.825,117.725,117.825,117.0,120.8
2020-04-30,FCJ0,APR 20,120,119.175,119.3,119.175,118.95,119.3
2020-04-29,FCJ0,APR 20,108,119.55,119.7,119.55,119.35,119.9
2020-04-28,FCJ0,APR 20,256,119.625,119.75,119.625,119.4,120.475
2020-04-27,FCJ0,APR 20,237,120.4,120.25,120.4,119.5,121.875
2020-04-24,FCJ0,APR 20,266,119.8,119.4,119.8,118.325,120.125
2020-04-23,FCJ0,APR 20,500,119.425,118.25,119.425,118.05,121.2
2020-04-22,FCJ0,APR 20,251,118.475,119.0,118.475,117.5,119.6
2020-04-21,FCJ0,APR 20,400,117.9,116.85,117.9,115.0,118.25
2020-04-20,FCJ0,APR 20,270,118.325,119.95,118.325,117.9,120.75
2020-04-17,FCJ0,APR 20,457,119.525,120.15,119.525,118.2,121.1
