Date,Ticker,Exp_Month,Volume,Settle,Open,Last,Low,High
2021-01-08,LCG1,FEB 21,24886,114.475,114.8,114.475,114.125,115.0
2021-01-07,LCG1,FEB 21,18175,114.975,114.7,114.975,114.525,115.275
2021-01-06,LCG1,FEB 21,21041,115.0,114.75,115.0,114.35,115.675
2021-01-05,LCG1,FEB 21,30450,115.05,112.7,115.05,111.35,115.5
2021-01-04,LCG1,FEB 21,32253,112.3,115.3,112.3,111.5,115.375
2020-12-31,LCZ0,DEC 20,68,112.95,112.4,112.95,112.4,113.05
2020-12-30,LCZ0,DEC 20,220,112.125,112.425,112.125,111.55,112.5
2020-12-29,LCZ0,DEC 20,868,112.05,113.2,112.05,111.9,113.55
2020-12-28,LCZ0,DEC 20,872,113.05,112.0,113.05,112.0,113.375
2020-12-24,LCZ0,DEC 20,278,112.15,111.925,112.15,111.8,112.175
2020-12-23,LCZ0,DEC 20,1078,111.925,110.325,111.925,110.2,111.925
2020-12-22,LCZ0,DEC 20,878,110.325,110.45,110.325,110.2,110.5
2020-12-21,LCZ0,DEC 20,1340,110.6,109.9,110.6,109.425,110.725
2020-12-18,LCZ0,DEC 20,1746,110.475,109.5,110.475,109.3,110.5
2020-12-17,LCZ0,DEC 20,3988,109.35,108.125,109.35,107.85,109.45
2020-12-16,LCZ0,DEC 20,1575,108.775,108.35,108.775,108.15,108.85
2020-12-15,LCZ0,DEC 20,1395,108.6,108.8,108.6,108.4,109.325
2020-12-14,LCZ0,DEC 20,1016,109.1,108.75,109.1,108.7,109.2
2020-12-11,LCZ0,DEC 20,3121,108.75,107.8,108.75,107.8,109.175
2020-12-10,LCZ0,DEC 20,2088,107.925,107.225,107.925,107.15,108.3
2020-12-09,LCZ0,DEC 20,2421,107.375,107.85,107.375,107.225,108.075
2020-12-08,LCZ0,DEC 20,2497,107.85,107.85,107.85,107.7,108.275
2020-12-07,LCZ0,DEC 20,4208,108.0,108.25,108.0,107.8,108.75
2020-12-04,LCZ0,DEC 20,8156,108.875,109.4,108.875,107.975,109.4
2020-12-03,LCZ0,DEC 20,6615,109.6,110.6,109.6,108.95,110.6
2020-12-02,LCZ0,DEC 20,6697,110.7,110.2,110.7,109.75,110.8
2020-12-01,LCZ0,DEC 20,6189,110.625,110.275,110.625,110.25,110.875
2020-11-30,LCZ0,DEC 20,6471,110.175,110.2,110.175,109.8,110.55
2020-11-27,LCZ0,DEC 20,3977,110.625,111.25,110.625,110.55,111.725
2020-11-25,LCZ0,DEC 20,6222,111.375,111.525,111.375,110.875,111.65
2020-11-24,LCZ0,DEC 20,8895,111.175,109.95,111.175,109.95,111.675
2020-11-23,LCZ0,DEC 20,9460,110.0,108.55,110.0,108.525,110.7
2020-11-20,LCZ0,DEC 20,11424,108.1,108.3,108.1,106.6,108.65
2020-11-19,LCZ0,DEC 20,16015,108.25,110.5,108.25,107.675,110.625
2020-11-18,LCZ0,DEC 20,10208,110.65,111.35,110.65,110.45,111.525
